index,active_qubit_count_per_index,avg_toffoli_gates_per_run_in_bin,phase_name
3034718,1132,1858.726285,tlm_inverse
3050662,1127,1934.429300,tlm_inverse
3066607,1146,2051.488254,tlm_inverse
3082551,1114,1952.940160,tlm_inverse
3098496,1128,1687.308843,tlm_inverse
3114441,1143,1706.012965,tlm_inverse
3130385,1126,1916.708333,tlm_inverse
3146330,1131,1933.351840,tlm_inverse
3162275,1149,2041.152261,tlm_inverse
3178219,1152,1918.090980,tlm_inverse
3194164,1119,1655.525377,tlm_inverse
3210108,1146,1761.930519,tlm_inverse
3226053,1133,1798.848404,tlm_inverse
3241998,1138,2135.702793,tlm_inverse
3257942,1130,1968.960660,tlm_inverse
3273887,1135,1679.632979,tlm_inverse
3289832,1129,1669.702571,tlm_inverse
3305776,1146,1813.733045,tlm_inverse
3321721,1140,2094.733710,tlm_inverse
3337665,1122,1963.070146,tlm_inverse
3353610,1123,1640.151263,tlm_inverse
3369555,1132,1659.431184,tlm_inverse
3385499,1144,1744.925199,tlm_inverse
3401444,1128,2095.086436,tlm_inverse
3417389,1121,1914.227061,tlm_inverse
3433333,1125,1606.804743,tlm_inverse
3449278,1128,1646.307181,tlm_inverse
3465222,1146,1822.398825,tlm_inverse
3481167,1146,2012.712988,tlm_inverse
3497112,1150,1822.050975,tlm_inverse
3513056,1125,1541.690492,tlm_inverse
3529001,1144,1701.308400,tlm_inverse
3544945,1149,2070.514295,tlm_inverse
3560890,1145,1841.492908,tlm_inverse
3576835,1122,1514.304189,tlm_inverse
3592779,1139,1655.880541,tlm_inverse
3608724,1134,2075.294770,tlm_inverse
3624669,1144,1823.988032,tlm_inverse
3640613,1152,1554.404034,tlm_inverse
3656558,1149,1921.028812,tlm_inverse
3672502,1136,2157.750554,tlm_inverse
3688447,1152,1729.447806,tlm_inverse
3704392,1152,2746.560062,tlm_inverse
3720336,1147,2392.061281,tlm_inverse
3736281,1152,2211.274047,tlm_inverse
3752226,877,1768.435616,tlm_inverse
3768170,903,1978.692043,tlm_inverse
3784115,895,2055.303856,tlm_inverse
3800059,860,2093.777926,tlm_inverse
3816004,886,2205.359486,tlm_inverse
3831949,879,2290.287234,tlm_inverse
3847893,888,2356.203347,tlm_inverse
3863838,867,2423.787123,tlm_inverse
3879783,881,2389.338320,tlm_inverse
3895727,862,2515.472961,tlm_inverse
3911672,852,2510.251995,tlm_inverse
3927616,935,2560.651707,tlm_inverse
3943561,842,2605.465204,tlm_inverse
3959506,841,2582.961769,tlm_inverse
3975450,838,2632.923426,tlm_inverse
3991395,850,2678.204012,tlm_inverse
4007340,836,2627.664118,tlm_inverse
4023284,957,2664.160904,tlm_inverse
4039229,867,2739.799424,tlm_inverse
4055173,980,2701.147163,tlm_inverse
4071118,855,2696.775155,tlm_inverse
4087063,833,2737.821254,tlm_inverse
4103007,830,2731.414007,tlm_inverse
4118952,824,2801.938941,tlm_inverse
4134896,824,2767.370900,tlm_inverse
4150841,825,2809.224291,tlm_inverse
4166786,830,2767.871454,tlm_inverse
4182730,860,2844.403369,tlm_inverse
